gender,race,residence,income,school_type,hooks,major,sat,ec_awards,essay_lor_interview,acceptances,waitlists,rejections,note,acceptances_clean,waitlists_clean,rejections_clean,num_acceptances,num_waitlists,num_rejections
F,WHITE,MA,Low,NA,NONE,PSYCH,1430,2,8,['*EMORY'],[],[],NA,EMORY,,,1,0,0
M,ASIAN,NA,Low,PUBLIC,NONE,CS,1590,7.5,8.7,"['*YALE', '*GEORGIA TECH', '*SWARTHMORE', '*CMU', '*UPENN']","['*HARVARD', '*CORNELL', '*PRINCETON', '*MIT']","['*BROWN', '*STANFORD', '*COLUMBIA', '*CALTECH', '*UCHICAGO']",NA,"YALE, GEORGIA TECH, SWARTHMORE, CMU, UPENN","HARVARD, CORNELL, PRINCETON, MIT","BROWN, STANFORD, COLUMBIA, CALTECH, UCHICAGO",5,4,5
F,NA,CA,Low,PUBLIC,URM,ENG,1280,2,4.5,"['*BERKELEY', '*NYU', '*UCD', '*FORDHAM', '*UCHICAGO']",['*UCLA'],"['*HARVARD', '*STANFORD', '*BERKELEY', '*NYU']",NA,"BERKELEY, NYU, UCD, FORDHAM, UCHICAGO",UCLA,"HARVARD, STANFORD, BERKELEY, NYU",5,1,4
F,ASIAN,WA,Low,PRIVATE,LEGACY,POLISCI,1570,7.5,4.2,['*UCHICAGO'],[],[],NA,UCHICAGO,,,1,0,0
M,WHITE,TX,Low,NA,NONE,LAW,1560,6.5,3.5,"['*COLUMBIA', '*UT-AUSTIN', '*TAMU']",[],"['*YALE', '*COLUMBIA']",NA,"COLUMBIA, UT-AUSTIN, TAMU",,"YALE, COLUMBIA",3,0,2
F,BLACK,FL,Low,PUBLIC,URM,HISTORY,1500,7.5,4.7,['*YALE'],['*COLUMBIA'],"['*HARVARD', '*CORNELL']",NA,YALE,COLUMBIA,"HARVARD, CORNELL",1,1,2
M,WHITE,CA,Low,PUBLIC,NONE,BIO,1540,7.5,7.3,"['*UCLA', '*STANFORD', '*MIT', '*UCSB', '*UCD']",['*TULANE'],[],NA,"UCLA, STANFORD, MIT, UCSB, UCD",TULANE,,5,1,0
M,ASIAN,INTERNATIONAL,Low,NA,NONE,CS,1510,7.5,6.2,['*UPENN'],[],[],NA,UPENN,,,1,0,0
F,WHITE,CA,Low,PUBLIC,NONE,CS,1490,7.5,4.5,"['*MIT', '*JOHNS HOPKINS', '*WASHU']",[],['*CALTECH'],NA,"MIT, JOHNS HOPKINS, WASHU",,CALTECH,3,0,1
M,BLACK,PA,Low,PRIVATE,URM,BIO,1520,5.5,4.5,"['*CMU', '*TUFTS']",['*HARVARD'],"['*HARVARD', '*BROWN', '*CORNELL', '*JOHNS HOPKINS', '*DARTMOUTH', '*UPENN']",NA,"CMU, TUFTS",HARVARD,"HARVARD, BROWN, CORNELL, JOHNS HOPKINS, DARTMOUTH, UPENN",2,1,6
