student_id,gender,race,residence,income,school_type,hooks,major,sat,ec_awards,essay_lor_interview,target_college,accepted
95,M,WHITE,CA,Low,PUBLIC,NONE,CS,1530,6.5,4.2,UCSD,1
95,M,WHITE,CA,Low,PUBLIC,NONE,CS,1530,6.5,4.2,UCSB,1
95,M,WHITE,CA,Low,PUBLIC,NONE,CS,1530,6.5,4.2,UCD,1
95,M,WHITE,CA,Low,PUBLIC,NONE,CS,1530,6.5,4.2,UCSC,1
95,M,WHITE,CA,Low,PUBLIC,NONE,CS,1530,6.5,4.2,ARIZONA STATE,1
95,M,WHITE,CA,Low,PUBLIC,NONE,CS,1530,6.5,4.2,UCI,1
98,F,ASIAN,CO,Low,PUBLIC,LEGACY,ENG,1450,6.5,4.5,CMU,1
98,F,ASIAN,CO,Low,PUBLIC,LEGACY,ENG,1450,6.5,4.5,NORTHEASTERN,1
99,M,BLACK,IL,Low,PUBLIC,URM,ENG,1000,5.5,6.5,NORTHWESTERN,1
99,M,BLACK,IL,Low,PUBLIC,URM,ENG,1000,5.5,6.5,VANDERBILT,1
99,M,BLACK,IL,Low,PUBLIC,URM,ENG,1000,5.5,6.5,UIUC,1
99,M,BLACK,IL,Low,PUBLIC,URM,ENG,1000,5.5,6.5,NORTHEASTERN,1
99,M,BLACK,IL,Low,PUBLIC,URM,ENG,1000,5.5,6.5,TUFTS,1
99,M,BLACK,IL,Low,PUBLIC,URM,ENG,1000,5.5,6.5,ARIZONA STATE,1
100,M,ASIAN,TX,Low,PUBLIC,NONE,CS,1480,8.2,5.5,BERKELEY,1
100,M,ASIAN,TX,Low,PUBLIC,NONE,CS,1480,8.2,5.5,UIUC,1
100,M,ASIAN,TX,Low,PUBLIC,NONE,CS,1480,8.2,5.5,UT-AUSTIN,1
100,M,ASIAN,TX,Low,PUBLIC,NONE,CS,1480,8.2,5.5,TAMU,1
101,F,ASIAN,OR,Low,PUBLIC,NONE,BUSINESS,1560,6.5,6.5,CMU,1
101,F,ASIAN,OR,Low,PUBLIC,NONE,BUSINESS,1560,6.5,6.5,UMICH,1
101,F,ASIAN,OR,Low,PUBLIC,NONE,BUSINESS,1560,6.5,6.5,BOSTON UNIVERSITY,1
101,F,ASIAN,OR,Low,PUBLIC,NONE,BUSINESS,1560,6.5,6.5,WASHU,1
101,F,ASIAN,OR,Low,PUBLIC,NONE,BUSINESS,1560,6.5,6.5,NORTHEASTERN,1
101,F,ASIAN,OR,Low,PUBLIC,NONE,BUSINESS,1560,6.5,6.5,UNC CHAPEL HILL,1
104,M,ASIAN,DC,Low,PUBLIC,FIRST-GEN,CHEMISTRY,1570,3.5,6.2,JOHNS HOPKINS,1
105,M,WHITE,MI,High,PUBLIC,NONE,ENG,1460,8,7.5,RICE,1
105,M,WHITE,MI,High,PUBLIC,NONE,ENG,1460,8,7.5,UMICH,1
105,M,WHITE,MI,High,PUBLIC,NONE,ENG,1460,8,7.5,UIUC,1
105,M,WHITE,MI,High,PUBLIC,NONE,ENG,1460,8,7.5,UT-AUSTIN,1
107,F,ASIAN,NC,Low,MAGNET,FIRST-GEN,ENG,1530,6.5,4.2,UNC CHAPEL HILL,1
108,M,ASIAN,OR,Low,PUBLIC,NONE,BUSINESS,1550,6.5,2.5,CORNELL,1
108,M,ASIAN,OR,Low,PUBLIC,NONE,BUSINESS,1550,6.5,2.5,GEORGIA TECH,1
108,M,ASIAN,OR,Low,PUBLIC,NONE,BUSINESS,1550,6.5,2.5,BOSTON UNIVERSITY,1
108,M,ASIAN,OR,Low,PUBLIC,NONE,BUSINESS,1550,6.5,2.5,NORTHEASTERN,1
109,M,BLACK,PA,Low,PRIVATE,URM,BIO,1520,5.5,4.5,DARTMOUTH,1
109,M,BLACK,PA,Low,PRIVATE,URM,BIO,1520,5.5,4.5,CMU,1
109,M,BLACK,PA,Low,PRIVATE,URM,BIO,1520,5.5,4.5,UPENN,1
109,M,BLACK,PA,Low,PRIVATE,URM,BIO,1520,5.5,4.5,TUFTS,1
115,M,ASIAN,NY,High,PUBLIC,NONE,CS,1570,6.5,6.2,YALE,1
115,M,ASIAN,NY,High,PUBLIC,NONE,CS,1570,6.5,6.2,COLUMBIA,1
115,M,ASIAN,NY,High,PUBLIC,NONE,CS,1570,6.5,6.2,CORNELL,1
115,M,ASIAN,NY,High,PUBLIC,NONE,CS,1570,6.5,6.2,DUKE,1
115,M,ASIAN,NY,High,PUBLIC,NONE,CS,1570,6.5,6.2,GEORGIA TECH,1
115,M,ASIAN,NY,High,PUBLIC,NONE,CS,1570,6.5,6.2,DARTMOUTH,1
115,M,ASIAN,NY,High,PUBLIC,NONE,CS,1570,6.5,6.2,UIUC,1
116,F,ASIAN,TX,High,PUBLIC,LEGACY,PSYCH,1590,3.5,5.2,CASE WESTERN,1
116,F,ASIAN,TX,High,PUBLIC,LEGACY,PSYCH,1590,3.5,5.2,USC,1
116,F,ASIAN,TX,High,PUBLIC,LEGACY,PSYCH,1590,3.5,5.2,UT-AUSTIN,1
116,F,ASIAN,TX,High,PUBLIC,LEGACY,PSYCH,1590,3.5,5.2,UT-DALLAS,1
116,F,ASIAN,TX,High,PUBLIC,LEGACY,PSYCH,1590,3.5,5.2,TAMU,1
119,M,WHITE,FL,Low,PRIVATE,URM,CS,1580,7.5,8.5,YALE,1
119,M,WHITE,FL,Low,PRIVATE,URM,CS,1580,7.5,8.5,PRINCETON,1
121,M,WHITE,MI,Low,PUBLIC,URM,CS,1450,2.5,4.2,HARVARD,1
121,M,WHITE,MI,Low,PUBLIC,URM,CS,1450,2.5,4.2,YALE,1
121,M,WHITE,MI,Low,PUBLIC,URM,CS,1450,2.5,4.2,JOHNS HOPKINS,1
121,M,WHITE,MI,Low,PUBLIC,URM,CS,1450,2.5,4.2,EMORY,1
121,M,WHITE,MI,Low,PUBLIC,URM,CS,1450,2.5,4.2,USC,1
121,M,WHITE,MI,Low,PUBLIC,URM,CS,1450,2.5,4.2,RUTGERS,1
121,M,WHITE,MI,Low,PUBLIC,URM,CS,1450,2.5,4.2,NORTHEASTERN,1
123,M,BLACK,TX,Low,PUBLIC,URM,POLISCI,1470,6.5,2.5,NORTHWESTERN,1
123,M,BLACK,TX,Low,PUBLIC,URM,POLISCI,1470,6.5,2.5,UCSD,1
123,M,BLACK,TX,Low,PUBLIC,URM,POLISCI,1470,6.5,2.5,JOHNS HOPKINS,1
123,M,BLACK,TX,Low,PUBLIC,URM,POLISCI,1470,6.5,2.5,SWARTHMORE,1
123,M,BLACK,TX,Low,PUBLIC,URM,POLISCI,1470,6.5,2.5,DARTMOUTH,1
123,M,BLACK,TX,Low,PUBLIC,URM,POLISCI,1470,6.5,2.5,WILLIAMS,1
123,M,BLACK,TX,Low,PUBLIC,URM,POLISCI,1470,6.5,2.5,VANDERBILT,1
123,M,BLACK,TX,Low,PUBLIC,URM,POLISCI,1470,6.5,2.5,UPENN,1
123,M,BLACK,TX,Low,PUBLIC,URM,POLISCI,1470,6.5,2.5,UCSB,1
123,M,BLACK,TX,Low,PUBLIC,URM,POLISCI,1470,6.5,2.5,UCSC,1
123,M,BLACK,TX,Low,PUBLIC,URM,POLISCI,1470,6.5,2.5,WASHU,1
