Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Acceptances,Waitlists,Rejections,Note
F,ASIAN,OR,High,PUBLIC,NONE,ENG,1560,6.5,4.5,"['*CORNELL', '*CASE WESTERN', '*UVA']","['*GEORGIA TECH', '*RICE', '*UMICH']","['*COLUMBIA', '*MIT', '*UPENN']",
M,WHITE,UT,Low,PUBLIC,URM,CS,1460,5,4.5,"['*CORNELL', '*MIT', '*CALTECH', '*CMU', '*USC']","['*RICE', '*UNC CHAPEL HILL']","['*YALE', '*BROWN', '*STANFORD', '*PRINCETON', '*UPENN']",
F,BLACK,-1,Low,-1,URM,BUSINESS,1430,6.5,4.5,"['*BOSTON COLLEGE', '*RUTGERS']",[],"['*YALE', '*SWARTHMORE', '*UPENN', '*EMORY', '*USC']",
M,ASIAN,CO,High,PUBLIC,FIRST-GEN,-1,1430,5.5,2.5,"['*CORNELL', '*SWARTHMORE', '*POMONA', '*UW MADISON']","['*RICE', '*WASHU', '*UCHICAGO']","['*HARVARD', '*YALE', '*BROWN', '*STANFORD', '*NORTHWESTERN', '*COLUMBIA', '*DUKE', '*PRINCETON', '*MIT', '*DARTMOUTH', '*UPENN']",
M,ASIAN,CA,Low,PUBLIC,URM,CS,1100,5,7.2,"['*UCLA', '*BERKELEY', '*UCSD', '*POMONA', '*UCSB', '*UCD', '*CLAREMONT MCKENNA']",['*WILLIAMS'],"['*HARVARD', '*STANFORD', '*COLUMBIA', '*MIT', '*DARTMOUTH', '*VANDERBILT', '*UPENN', '*USC', '*San Jose State University']",
F,HISPANIC,FL,Low,PUBLIC,NONE,DESIGN,1320,5.5,8.7,"['*CMU', '*WASHU']",['*CORNELL'],['*MIT'],
M,ASIAN,NY,Low,PUBLIC,FIRST-GEN,CS,1370,2,2.5,[],[],"['*NYU', '*FORDHAM']",
M,ASIAN,DC,Low,PUBLIC,NONE,BIO,1440,8.5,8.2,"['*UMICH', '*UNC CHAPEL HILL']",['*UPENN'],"['*HARVARD', '*YALE', '*BROWN', '*STANFORD', '*JOHNS HOPKINS', '*RICE', '*VANDERBILT']",
M,ASIAN,-1,Low,PUBLIC,FIRST-GEN,BUSINESS,1480,5.5,7.2,[],"['*UPENN', '*EMORY', '*BOSTON COLLEGE']","['*COLUMBIA', '*CORNELL', '*CMU', '*NYU', '*UPENN', '*USC', '*NORTHEASTERN', '*UVA']",
M,WHITE,MD,Low,PUBLIC,NONE,UNDECIDED,1460,2,3.5,['*UW MADISON'],['*EMORY'],"['*UCLA', '*BERKELEY', '*UMICH', '*EMORY', '*UCSB', '*UVA']",
M,ASIAN,CA,High,PUBLIC,NONE,CS,1440,7.5,4.5,"['*UCLA', '*YALE', '*BROWN', '*COLUMBIA', '*CORNELL', '*DUKE', '*UCSD', '*GEORGIA TECH', '*PURDUE', '*USC', '*UCSB', '*UCD', '*UIUC', '*UT-AUSTIN', '*VIRGINIA TECH', '*TUFTS', '*UVA', '*TAMU', '*UCI']",[],"['*UCLA', '*YALE', '*BROWN', '*COLUMBIA', '*CORNELL', '*DUKE', '*UCSD', '*GEORGIA TECH', '*CMU', '*UMICH', '*CASE WESTERN', '*USC', '*UCSB', '*UCD', '*UCSC', '*UT-AUSTIN', '*TUFTS', '*UCI']",
M,ASIAN,NY,Low,-1,NONE,-1,1510,3.5,2.5,"['*CMU', '*NORTHEASTERN']","['*NYU', '*UMICH']","['*WASHU', '*UVA']",
M,WHITE,MD,Low,PUBLIC,NONE,UNDECIDED,1460,2,3.5,['*UW MADISON'],['*EMORY'],"['*UCLA', '*BERKELEY', '*UMICH', '*EMORY', '*UCSB', '*UVA']",
F,ASIAN,CA,Low,PUBLIC,LEGACY,LAW,1490,7.5,4.5,"['*UCSD', '*USC', '*UCD', '*UCSC', '*BOSTON UNIVERSITY', '*San Jose State University']",['*BERKELEY'],"['*UCLA', '*HARVARD', '*STANFORD', '*NORTHWESTERN', '*COLUMBIA', '*CORNELL', '*WILLIAMS', '*NYU', '*UPENN', '*UMICH']",
